data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.329740
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.125095
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.095883
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.022809
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.056366
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.035115
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.044058
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.005352
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.030506
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.017248
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.029736
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.007382
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.016269
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.002338
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011171
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.003177
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.009946
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.002628
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006403
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.001318
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004873
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.002905
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003807
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.001500
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002926
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.001928
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002280
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.000725
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002037
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.001477
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001681
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.000662
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001546
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.001716
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001396
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.000601
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001363
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.001473
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001085
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.001185
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001076
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.000826
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000950
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.001107
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000964
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.001241
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000973
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.000727
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000833
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.001288
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000880
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:026, data loss:0.001021
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000784
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:027, data loss:0.000736
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000791
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:028, data loss:0.000964
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000696
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:029, data loss:0.001119
