data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.556230
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:001, data loss:0.175465
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.091883
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:002, data loss:0.049518
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.069984
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:003, data loss:0.035417
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.028780
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:004, data loss:0.009218
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.023250
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:005, data loss:0.014125
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.012015
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:006, data loss:0.001226
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.007516
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:007, data loss:0.004948
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006990
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:008, data loss:0.003752
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004603
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:009, data loss:0.001430
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003108
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:010, data loss:0.002390
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002896
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:011, data loss:0.001234
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002187
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:012, data loss:0.002052
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002070
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:013, data loss:0.001829
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001944
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:014, data loss:0.001892
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001697
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:015, data loss:0.001020
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001609
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:016, data loss:0.001869
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001507
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:017, data loss:0.001449
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001464
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:018, data loss:0.001916
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001430
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:019, data loss:0.000981
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001521
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:020, data loss:0.001948
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001337
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:021, data loss:0.002397
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001130
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:022, data loss:0.000798
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001393
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:023, data loss:0.001048
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001267
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:024, data loss:0.001905
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001386
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:025, data loss:0.002165
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001102
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:026, data loss:0.001675
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001149
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:027, data loss:0.001303
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001038
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:028, data loss:0.000689
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001104
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:029, data loss:0.000679
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001033
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:030, data loss:0.000589
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001070
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:031, data loss:0.000820
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000887
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:032, data loss:0.001368
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000932
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:033, data loss:0.001643
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000823
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:034, data loss:0.000939
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000979
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:035, data loss:0.001475
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000910
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:036, data loss:0.000800
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000852
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:037, data loss:0.000902
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000925
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:038, data loss:0.001719
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000825
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:039, data loss:0.002035
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000849
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:040, data loss:0.000753
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000734
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:041, data loss:0.000429
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000672
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:042, data loss:0.000806
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000619
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:043, data loss:0.000965
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000637
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:044, data loss:0.001117
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000695
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:045, data loss:0.000680
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000562
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:046, data loss:0.000688
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000491
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:047, data loss:0.001346
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000572
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:048, data loss:0.000213
2025-03-13 12:37 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000642
2025-03-13 12:37 - function:valid - INFO - [Valid] epoch:049, data loss:0.000859
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000540
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:050, data loss:0.001278
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000511
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:051, data loss:0.000814
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000414
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:052, data loss:0.000727
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000420
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:053, data loss:0.000507
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000389
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:054, data loss:0.000858
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000465
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:055, data loss:0.000790
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000462
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:056, data loss:0.000200
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000473
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:057, data loss:0.000894
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000442
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:058, data loss:0.001021
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000461
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:059, data loss:0.000193
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:060, data loss:0.000580
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:060, data loss:0.001005
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:061, data loss:0.000461
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:061, data loss:0.000764
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:062, data loss:0.000476
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:062, data loss:0.000138
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:063, data loss:0.000603
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:063, data loss:0.000823
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:064, data loss:0.000457
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:064, data loss:0.001592
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:065, data loss:0.000499
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:065, data loss:0.000217
