data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.578145
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.125304
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.077568
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.078340
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.068386
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.011622
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.037244
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.019918
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.022177
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.007725
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.014982
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.005465
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.008931
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.000484
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005393
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.004708
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004017
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.000725
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002768
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.003126
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002171
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.000932
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001726
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.002408
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001525
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.001406
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001336
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:014, data loss:0.001711
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001211
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:015, data loss:0.001589
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001113
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:016, data loss:0.001485
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000993
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:017, data loss:0.001395
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000942
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:018, data loss:0.001423
