data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.870865
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.471308
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.401496
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.140846
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.146511
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.106290
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.148000
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.182944
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.161928
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.102095
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.074298
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.010622
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.041458
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.052473
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.085226
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.040837
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.054510
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.005413
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.019253
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.020459
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.021501
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.022829
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.016389
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.005516
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.012507
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.004216
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.024153
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.003135
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.015074
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.005898
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.008696
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:016, data loss:0.018004
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.012086
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:017, data loss:0.011812
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006310
